acc.date,aircraft_type,operator,fatalities,damage
2022-11-09,Boeing 737-823 (WL),American Airlines,0,sub
2022-11-10,Boeing 737 MAX 8,American Airlines,0,non
2022-11-12,Boeing B-17G Flying Fortress,American Airpower Heritage Museum,0,w/o
2022-11-14,Antonov An-2,Risk Mondial Aviation & Recovery,0,sub
2022-11-15,Honda HA-420 HondaJet,Andersen Air LLC,0,sub
2022-11-15,Fairchild SA227-AT Expediter,Ameriflight,0,sub
2022-11-17,Embraer EMB-110P1 Bandeirante,LeAir Charter Services,0,min
2022-11-17,Beechcraft 1900D,Penjet Pty Ltd,0,sub
2022-11-18,Airbus A320-271N,LATAM Perú,0,w/o
2022-11-18,Cessna 208B Grand Caravan EX,Raisbeck Engineering,4,w/o
2022-11-19,Airbus A320-211,Delta Air Lines,0,sub
2022-11-20,Boeing 737-4Q8 (SF),"Bluebird Cargo, opf ASL Airlines Belgium",0,sub
2022-11-25,Cirrus SF50 Vision Jet G2,Verijet,0,sub
2022-11-28,Airbus A330-243,Azul Linhas Aéreas Brasileiras,0,non
2022-11-29,Boeing 737-7H4 (WL),Southwest Airlines,0,non
2022-11-29,Learjet 45,Jett Aircraft,0,sub
2022-11-30,Learjet 36,Aery Aviation,0,sub
2022-12-01,Learjet 35A,"REVA, Inc.",0,sub
2022-12-03,Embraer ERJ-175LR,Mesa Airlines,0,non
2022-12-07,British Aerospace BAe-146-200,Antarctic Airways,0,sub
2022-12-08,Boeing 767-322ER (WL),United Airlines,0,non
2022-12-15,Swearingen SA226-TC Metro II,Key Lime Air,0,sub
2022-12-17,de Havilland Canada DHC-8-402QPF Dash 8,Blue Bird Aviation,0,sub
2022-12-18,Airbus A330-243,Hawaiian Airlines,0,min
2022-12-18,Boeing 737-824 (WL),United Airlines,0,non
2022-12-22,Boeing 787-9 Dreamliner,Air Canada,0,unk
2022-12-23,de Havilland Canada DHC-6 Twin Otter 300,Rimbun Air,0,sub
2022-12-24,Gulfstream GIV-X (G450),Flexjet LLC,0,non
2022-12-26,Boeing 737-860 (WL),Ethiopian Airlines,0,sub
2022-12-26,Boeing 737 MAX 8-200,Ryanair,0,non
2022-12-26,Boeing 737-3Z0,"Tarco Aviation, lsf Mid Africa Aviation",0,sub
2022-12-27,Embraer EMB-505 Phenom 300,Skystallion LLC,0,sub
2022-12-30,Canadair CL-600S Challenger 600,private,2,w/o
2022-12-31,Embraer ERJ-175LR (ERJ-170-200 LR),"American Eagle, opb Envoy Air",0,min
2022-12-31,Cessna 208B Grand Caravan,BAR Aviation,0,w/o
2021-01-02,Beechcraft 200 Super King Air,"Vagus Group, Inc.",0,min
2021-01-02,Learjet 31A,Brasil Vida Táxi Aéreo,0,sub
2021-01-09,Cessna 560 Citation V,SX Transport LLC,1,w/o
2021-01-09,Boeing 737-524 (WL),Sriwijaya Air,62,w/o
2021-01-12,Harbin Y-12-II,Kenya Air Force - KAF,4,w/o
2021-01-17,Boeing 777-31HER,Emirates,0,non
2021-01-19,Avro RJ85,Jota Aviation,0,sub
2021-01-19,Boeing 737-4Q8 (SF),West Atlantic UK,0,sub
2021-01-23,Canadair CL-600 Challenger 600,Global Avionics LLC,0,unk
2021-01-23,North American Rockwell Sabreliner 60,Aviacion Ejecutiva del Bajio,0,sub
2021-01-24,Raytheon Beechjet 400A,Martinair Inc.,0,sub
2021-01-26,Harbin Y-12E,Zambian Air Force,0,sub
2021-01-28,Beechcraft B300 King Air 350,MM-Air LLC,0,sub
2021-01-29,Beechcraft 100 King Air,private,0,w/o
,Antonov An-2,Korean People's Army Air and Anti-Air Force (KPAAF),5,w/o
2021-02-01,Boeing 747-8KZF,Nippon Cargo Airlines,0,sub
2021-02-08,Airbus A320-271N,Spirit Airlines,0,non
2021-02-08,Embraer EMB-500 Phenom 100,Luxwing,0,sub
2021-02-09,Antonov An-12BK,Russian Air Force,0,sub
2021-02-10,Airbus A320-214 (WL),Flyadeal,0,sub
2021-02-13,Dassault Falcon 900EX EASy,Aerospike Iron LLC,0,sub
2021-02-14,de Havilland Canada DHC-6 Twin Otter 300,Manta Air,0,sub
2021-02-15,de Havilland Canada DHC-6 Twin Otter 300,Armée de l'air et de l'espace,0,sub
2021-02-18,Learjet 55C,Royal Air Freight,0,sub
2021-02-20,Boeing 737-86N (WL),Air India Express,0,sub
2021-02-20,de Havilland Canada DHC-3T Vazar Turbine Otter,Wings Over Kississing,0,sub
2021-02-21,Beechcraft 200 Super King Air,private,0,w/o
2021-02-21,Learjet 45XR,Fuerza Aérea Mexicana,6,w/o
2021-02-21,Beechcraft B300 King Air 350,Nigerian Air Force - NAF,7,w/o
2021-02-26,Antonov An-2T,Asia Continental Airlines,0,sub
2021-02-28,Douglas DC-3C,ALIANSA Colombia,0,sub
2021-03-01,ATR 72-500 (72-212A),Air Algérie,0,unk
2021-03-01,Beechcraft B300 King Air 350i,"Beidahuang General Airlines, opf China Met, Administration",5,w/o
2021-03-02,Let L-410UVP-E,South Sudan Supreme Airlines,10,w/o
